current_name,steamid64,oz_id,c_all,c180,c31,c7,first_hit_utc,last_hit_utc
nonamed lowdiv2 haennrie,76561198329126870,3340,160,12,0,0,2018-05-23,2025-07-30
zeised,76561198348523295,3638,160,14,0,0,2021-05-02,2025-06-28
ALL HAIL KING BIG NUTZ 2021,76561198063258664,231,159,8,0,0,2015-10-24,2025-07-08
Lillia,76561198102469410,604,159,0,0,0,2014-10-31,2023-02-10
Maestro,76561199530648122,4927,159,8,0,0,2023-07-28,2025-07-27
Zildjian,76561198045712279,247,159,0,0,0,2015-08-23,2021-06-01
yong,76561198048634605,425,159,0,0,0,2014-09-26,2018-07-03
Sessal,76561198046513287,460,158,1,0,0,2014-07-02,2025-03-27
snoodles,76561198313113513,3853,158,0,0,0,2018-06-07,2022-06-28
acesty ❤,76561197963303514,2923,157,0,0,0,2018-05-25,2022-08-05
ckrow,76561198198518921,3367,155,0,0,0,2020-01-02,2023-11-19
flyingbuddy,76561198120593551,382,155,0,0,0,2016-01-05,2018-01-27
heebs,76561198067588335,186,154,0,0,0,2014-11-02,2022-10-09
johnny,76561198116654678,174,154,0,0,0,2014-08-19,2017-03-14
pluz,76561198193041274,1760,154,0,0,0,2017-09-23,2020-11-20
altfs,76561198131264287,954,153,16,3,0,2016-04-23,2025-09-09
calski,76561198058375270,490,153,0,0,0,2014-08-15,2024-12-11
whraim,76561198201002769,1388,153,0,0,0,2016-04-22,2019-01-09
trum.,76561198202924657,1431,152,0,0,0,2018-05-02,2024-11-19
fuzz,76561198156872898,1601,151,0,0,0,2018-10-07,2023-07-02
keritz,76561199004134126,3744,151,6,1,0,2020-02-22,2025-08-23
zgd,76561198042448302,1203,151,0,0,0,2013-07-10,2020-03-03
c_rso,76561198140387867,84,150,0,0,0,2014-11-13,2017-01-10
cookie,76561198156148323,5545,150,51,0,0,2020-02-24,2025-08-05
evrbdlvsme,76561198060665924,1520,150,0,0,0,2014-06-06,2020-08-03
core,76561198049618390,491,148,0,0,0,2014-06-25,2021-11-26
norbit the plug,76561198083712388,2505,148,2,0,0,2020-08-19,2025-06-30
Eclipse,76561198218308977,589,146,0,0,0,2016-09-06,2019-03-08
Jay,76561198250576520,2485,146,0,0,0,2019-01-24,2020-07-01
trucker.mike2004,76561198081559669,1209,146,0,0,0,2015-03-11,2025-02-04
xarlon,76561198798841999,3452,146,0,0,0,2019-09-14,2022-10-08
Über Alles,76561198271979264,2066,146,0,0,0,2018-06-19,2024-03-17
Corde,76561198083876212,3771,144,41,0,0,2020-11-12,2025-08-02
ching lao,76561198126595103,3446,144,0,0,0,2016-02-27,2022-12-29
donna,76561198142660305,2648,144,1,0,0,2020-05-27,2025-03-22
syncy,76561198110601275,1072,144,0,0,0,2016-02-10,2024-10-02
twiikuu,76561198020242938,2100,144,0,0,0,2013-02-01,2025-02-28
Batman.,76561199044900678,5692,143,71,4,0,2024-05-31,2025-09-01
Pork,76561198117054613,328,142,0,0,0,2015-07-03,2018-01-01
jennierubyjane,76561198132062150,679,142,1,0,0,2015-06-28,2025-08-14
Charlie,76561198003275802,2112,140,1,1,0,2013-05-07,2025-08-28
Cookie_,76561198091732557,4460,139,0,0,0,2016-01-29,2024-05-14
90210,76561198015448582,415,138,0,0,0,2015-09-01,2024-11-11
Banana,76561198095278714,1548,138,2,0,0,2018-03-29,2025-06-15
LIONZZZERA,76561198254354718,2455,138,0,0,0,2018-02-07,2022-08-13
Veron,76561198096457803,921,138,4,0,0,2015-11-12,2025-08-08
Aoshi,76561198043868358,1029,137,0,0,0,2014-02-01,2019-09-04
An_Kangaroo,76561198159217070,3160,136,0,0,0,2018-06-19,2023-02-05
Rapeszpuska,76561198331329777,3188,136,0,0,0,2017-08-09,2023-07-24
Shupah,76561198136792635,201,136,0,0,0,2015-04-03,2023-04-05
Doge.exe has stopped working,76561198046852497,29,132,3,0,0,2015-01-03,2025-08-10
Geri lft,76561198108931373,1591,132,0,0,0,2015-11-04,2019-12-28
Fossil,76561198113377363,5512,131,2,0,0,2017-02-18,2025-05-17
gigi,76561198061717026,5340,131,6,0,0,2014-02-17,2025-07-19
Hero,76561198333437182,3066,129,3,0,0,2019-02-07,2025-06-11
JackyLegs,76561197998944560,1165,129,0,0,0,2013-06-23,2024-08-23
decap,76561198060076066,445,128,0,0,0,2016-06-22,2021-09-27
ASHI ASHI,76561198446283223,4984,127,0,0,0,2022-07-23,2025-02-07
nik,76561198210482280,3098,127,0,0,0,2016-12-26,2024-12-09
Big-Dad,76561198040111659,302,126,0,0,0,2014-09-24,2021-07-15
Dokla,76561198870245231,4069,125,0,0,0,2020-05-13,2024-12-03
Kiyoshi,76561198136478868,2698,125,3,1,0,2019-04-26,2025-08-29
space41,76561198279777031,2478,125,0,0,0,2017-04-23,2024-01-19
dreamerung,76561198165140243,1024,123,0,0,0,2015-09-12,2020-04-29
Carib Diss,76561198072335921,1147,122,0,0,0,2016-12-22,2021-11-03
Donuskuss (past my bedtime),76561198193422230,2343,121,0,0,0,2018-12-05,2020-06-02
ethaaaaan,76561198132637556,3335,121,1,0,0,2015-01-18,2025-05-22
percy,76561198203856511,1862,121,0,0,0,2015-12-28,2022-07-07
sky,76561198092449612,3443,121,0,0,0,2018-03-03,2021-05-24
viaze,76561198980719860,3017,121,0,0,0,2020-12-08,2023-07-21
Walgreens,76561198133887117,2801,120,0,0,0,2015-08-08,2023-10-12
dax.,76561198321885643,3341,120,1,0,0,2018-04-28,2025-05-25
robor,76561198084686835,2611,120,28,1,0,2020-06-15,2025-09-04
menex,76561198071933028,2627,119,4,0,0,2021-08-11,2025-08-05
grix,76561198079401813,3260,118,0,0,0,2017-10-05,2023-11-23
myyyst,76561198127717925,145,118,1,1,0,2015-12-14,2025-09-09
rintincan,76561198124772544,2030,118,4,0,0,2015-11-08,2025-07-12
Wiisports William,76561198115594594,1441,115,0,0,0,2016-08-26,2022-10-30
hif,76561198112141269,2848,114,0,0,0,2020-11-28,2024-08-28
LackRish,76561198153904068,1670,113,0,0,0,2017-12-01,2023-07-30
Paymh,76561198043414932,325,113,0,0,0,2013-05-19,2020-02-27
samson,76561198085413753,205,113,0,0,0,2015-12-01,2025-02-18
SAKKU #TigerRise,76561198361402892,4830,112,0,0,0,2018-10-15,2025-01-09
honk honk,76561198054079203,1207,112,0,0,0,2017-06-02,2024-04-24
kira,76561198277979851,5368,112,9,0,0,2017-06-05,2025-07-18
jel,76561198439712695,4070,111,14,0,0,2020-02-19,2025-07-15
xobile,76561198017283362,2835,111,2,0,0,2020-08-15,2025-05-10
lerl,76561198098626589,714,110,0,0,0,2015-06-05,2020-11-24
Koala,76561198367634603,5078,109,0,0,0,2018-04-02,2020-12-29
Pauthen,76561198834810229,3237,109,2,0,0,2019-03-16,2025-06-19
Wheatley,76561198204104965,1424,109,0,0,0,2016-06-23,2022-11-30
jacc,76561198032459203,214,109,0,0,0,2014-05-16,2020-06-23
wendy,76561198210141453,1742,109,0,0,0,2016-08-12,2019-05-19
..,76561198042260951,1113,108,0,0,0,2014-05-24,2018-01-27
maff,76561199106104716,3942,108,23,4,0,2022-05-02,2025-08-28
nazgul,76561198280158485,2094,108,0,0,0,2020-07-13,2022-09-26
Gale,76561198449852071,3036,107,4,0,0,2019-01-05,2025-04-17
Mlody,76561198172341895,2241,107,0,0,0,2019-06-13,2022-10-25
kei,76561198237366642,943,107,0,0,0,2016-12-23,2020-06-27
aclaivi,76561198012254788,390,106,0,0,0,2014-09-19,2018-01-30
clx 3,76561198310925535,2707,105,0,0,0,2020-04-07,2020-12-28
ether-,76561198064711665,984,105,0,0,0,2014-12-23,2025-03-02
Sh4rpyy,76561198237700604,1085,104,0,0,0,2017-10-29,2021-10-24
fuzze,76561198214461775,4768,104,0,0,0,2020-04-02,2024-10-30
strix,76561198078178141,975,104,0,0,0,2015-02-07,2020-08-17
Chili,76561198048808386,233,103,15,4,0,2014-09-22,2025-09-08
▄█▀ █▀█ ██ █▀█▀█,76561197973791699,2653,103,0,0,0,2013-07-18,2020-09-23
esco,76561198196686897,135,101,0,0,0,2015-12-20,2021-05-02
gee gee gee gee • v •,76561198850021147,4147,101,0,0,0,2021-02-15,2024-12-19
xs lft hl or 6s,76561198397879421,2749,101,5,1,0,2020-06-06,2025-08-17
Zer0,76561198178754145,1440,100,0,0,0,2016-07-01,2021-09-02
jyp,76561198208382525,2191,100,0,0,0,2017-01-01,2024-06-08
Cowche,76561198048497307,797,99,0,0,0,2017-04-12,2024-09-11
Savant,76561198026955547,555,99,0,0,0,2014-11-08,2016-09-24
n1ght,76561198104263292,117,99,0,0,0,2015-11-29,2017-04-14
sway,76561199031840977,3244,99,0,0,0,2020-07-25,2022-11-18
5G Greek,76561198116230594,796,98,0,0,0,2016-09-23,2020-08-28
shock,76561198253170562,1977,98,0,0,0,2016-12-14,2022-01-14
Markus,76561198081303855,3326,97,0,0,0,2015-10-01,2021-04-15
rulliez,76561198173970261,3370,97,0,0,0,2020-06-17,2024-05-07
sentar,76561198126692772,464,97,0,0,0,2015-11-07,2023-03-25
Axio,76561198046826031,2453,96,0,0,0,2017-03-25,2023-03-11
ashhhhh,76561198004728744,5671,96,0,0,0,2012-12-07,2023-05-29
jyn.,76561198343681664,3048,96,0,0,0,2019-09-15,2024-05-25
therealweiner,76561198083975056,4569,96,2,0,0,2017-06-01,2025-08-16
arnoo,76561199066717018,3673,95,14,4,0,2021-05-07,2025-08-29
proxie,76561198077119673,1953,95,0,0,0,2014-09-21,2020-12-22
classy.,76561198417116497,2282,94,0,0,0,2019-01-27,2023-12-06
elvis salvadorean,76561198071483999,3857,94,0,0,0,2015-04-25,2025-02-13
fluro,76561198343807287,1216,94,0,0,0,2018-06-08,2024-07-25
hyper,76561198044051538,7,94,0,0,0,2014-07-06,2019-08-23
L U D D E,76561198048776586,5055,93,0,0,0,2015-01-20,2023-02-20
tripz,76561198062152308,5441,93,0,0,0,2014-04-19,2021-07-22
y-g,76561198395190487,3934,93,0,0,0,2019-12-31,2022-02-08
Cloracle,76561198135385562,991,92,0,0,0,2016-11-26,2020-01-08
FREETIMSIMON,76561198376383989,2387,92,2,1,0,2020-04-10,2025-09-08
Frager,76561198323411853,3169,92,2,0,0,2020-08-15,2025-06-05
Sean,76561198002921833,50,92,1,0,0,2015-02-11,2025-04-12
saila,76561198154719104,1806,92,0,0,0,2016-10-11,2023-04-08
Melvix,76561199231855641,5830,91,0,0,0,2022-11-23,2024-09-10
starlink,76561198257076082,2267,91,2,0,0,2016-08-26,2025-08-16
takeyon,76561198185399534,900,91,4,0,0,2017-04-28,2025-06-07
Rei,76561198128963129,370,88,1,0,0,2015-10-10,2025-04-06
Spud,76561198167358745,3396,88,0,0,0,2016-11-18,2024-10-03
Luggnuts,76561198069001630,87,87,0,0,0,2016-02-07,2021-03-12
Mankind,76561197999362239,828,87,0,0,0,2015-11-07,2023-07-21
encre,76561198025340290,345,87,0,0,0,2013-06-22,2022-03-05
ltrg,76561198399737890,2446,87,0,0,0,2018-05-14,2024-05-03
wherestheevidence,76561198191973051,1941,87,0,0,0,2018-09-21,2025-02-19
Augustus,76561198086414515,4236,86,0,0,0,2015-08-11,2021-03-12
HERTZILLA,76561198116828800,26,86,23,7,0,2021-03-02,2025-09-08
KO,76561198325414022,5595,86,4,0,0,2020-09-09,2025-07-04
